TaskID,Title,ArabicName,Author,Date,Status,Hours,ProjectPath,Source,Notes
7e3c3934d6980da30e4f5d95850b59b4404a886a,"Refactor form components for improved structure and readability; update styles and environment configuration",,"egyptpost\\a.farag",2025-12-14,Done,16,GenericComponents;Correspondances;Publications;Auth,git,"Modified multiple form components and styles; updated environment.ts"
db8489921ffd7dbe89c59f0e93a8a1ecc534f7cb,"Update form components to improve readability and remove unnecessary bindings",,"egyptpost\\a.farag",2025-12-14,Done,6,GenericComponents;Publications,git,"Updated generic-form-array and several publication templates"
14f7f32f7fd2b277571bf95923d006eade713364,"Enhance login component with flip card effect and improved user experience",,"egyptpost\\a.farag",2025-12-14,Done,4,Auth,git,"Login component UI changes; environment.ts updated"
b2c26d2a03f9af55f59e2d6002fca140e8252741,"Update component templates and logic for improved functionality and readability",,"egyptpost\\a.farag",2025-12-13,Done,6,Correspondances;GenericComponents;TopManagement,git,"Corr request details and generic form array changes"
74f848230cb69a95f55d17aa798f6262010fd87b,"Add drop-shadow effect to images in nav-bar component and improve media query structure",,"egyptpost\\a.farag",2025-12-13,Done,2,Shared;Auth,git,"Styling updates to nav-bar and login"
09c6ad4b029d641002d20854a71e9b5f19f13bf2,"Update radio button component to remove disabled attribute and enhance add-edit-subject component with maxDate input",,"egyptpost\\a.farag",2025-12-13,Done,3,GenericComponents;TopManagement,git,"Radio button and add-edit-subject improvements; environment.ts updated"
cccf0118e03563cab3a5bbcc456123a154fb42d8,"Refactor data handling in RoleHierarchyComponent to use local itemData and item_columns",,"egyptpost\\a.farag",2025-12-13,Done,4,Admins,git,"RoleHierarchyComponent data refactor"
eb4ad5bb9497695a204e4944c1366a9ef3c67533,"Integrate auth check for edit button visibility in view-main-data component",,"egyptpost\\a.farag",2025-12-13,Done,2,Publications,git,"Added auth visibility checks for edit button"
d59c393d0739adeb16940eb3cd5e922ddaafe274,"Refactor code structure for improved readability and maintainability",,"egyptpost\\a.farag",2025-12-12,Done,24,Multiple,git,"Large structural refactor across modules; publications service replaced"
fed93665e294aa658760c95b1702b623f110e75f,"Enhance view-mail-data component with attachment functionality and dialog improvements",,"egyptpost\\a.farag",2025-12-08,Done,8,Publications;GenericComponents,git,"Attachments handling, dialog improvements, add-edit-publication changes"
e933a82a7e0f1afe7e6affe31ac5a420b491e1a1,"Update dropdown max-width, adjust font size in generic form array, and optimize debounce time in AddEditSubject component",,"egyptpost\\a.farag",2025-12-08,Done,3,GenericComponents;TopManagement,git,"Style tweaks and debounce optimization"
1ca40b4d6e1247f8766aa0eb635b66688670ddae,"Improve dropdown and input components with enhanced styling and layout adjustments",,"egyptpost\\a.farag",2025-12-07,Done,3,GenericComponents;TopManagement,git,"Dropdown/input styling; generic forms updates"
788c9c64dd9c3daf7ea6e51b89c8153b5bdb768d,"Refactor RadioButton and AddEditSubject components for improved styling and functionality",,"egyptpost\\a.farag",2025-12-06,Done,6,GenericComponents;TopManagement,git,"RadioButton and add-edit-subject refactor"
cc8fc3ee8bdeaa4f8fb6b2e3dde9613f3ed43f74,"Enhance AddEditSubject and RadioButton components with new template selection and improved styling",,"egyptpost\\a.farag",2025-12-06,Done,6,Correspondances;GenericComponents;TopManagement,git,"Template selection and styling improvements"
4b818122da25be433b55fca5346e7e36ed86b5be,"Enhance Dropdown and AddEditSubject components with improved event handling and message ID generation",,"egyptpost\\a.farag",2025-12-06,Done,5,GenericComponents;TopManagement,git,"Event handling and messageID generation improvements"
51373a89c85e092419a209736f424d4abcc524ec,"Enhance Generic Form Array Component with new features and styling",,"egyptpost\\a.farag",2025-12-06,Done,10,GenericComponents;Correspondances;Publications,git,"Generic-form-array enhancements; environment.ts adjusted"
aae7b67d05d73417f24d39f92cb12ddb6002f1f8,"Enable CorrespondenceApiURL for production environment",,"egyptpost\\a.farag",2025-12-02,Done,1,Environments,git,"environment.ts production API enabled"
1e0a25707896e60885b4c8d8bef81ccb6671d0e4,"Add ChoiceHintComponent and integrate into AddEditPublicationComponent",,"egyptpost\\a.farag",2025-12-02,Done,6,GenericComponents;Publications;TopManagement,git,"Added ChoiceHintComponent and top-management module files"

# Notes:
# - `ArabicName` is left blank. Hours column populated with my estimates in hours.
